"","distance","s1","s2","s3","s4","s5"
"DMU105",0.416057884615729,0.158542857143,0.76463,0.1845,0.7,0.34784
"DMU106",0.1086365714286,0.121902857143,0,-0.1309,0.4,0.15218
"DMU107",0.01080945378154,0.028914285714428,-0.0206299999999999,0,0,0.06522
"DMU108",0.0866460084034343,0.132622857143,0.37007,-0.1309,0,0.2174
"DMU109",0.14948718487406,0.121902857143,0.76463,-0.1309,0,0.26088
"DMU110",0.140781302521114,0.143342857142999,0.59657,0,0,0.2174
"DMU111",0.404344807692639,0.399722857143,0.49201,0.5,0.4,0.34784
"DMU112",0.131896008403462,0.143342857143,0.62357,-0.1309,0,0.26088
"DMU113",0.158313655462301,0.143342857143,0.65057,0,0,0.28262
"DMU115",0.215116596638806,0.158542857143,0.79365,0.1845,0,0.3261
"DMU116",0.2091125714286,0.121902857143,0.20872,0.1845,0.4,0.13044
"DMU117",0.216257773109394,0.143342857143,0.97937,0,0,0.34784
"DMU118",0.3550025714286,0.262182857143,0.32397,0.1845,0.7,0.30436
"DMU119",0.0960662295082126,0.0683028571429998,0.0412599999999999,0.5,0,0.13044
"DMU120",0.133672478991698,0.0897428571430001,0.62357,0,0,0.19566
"DMU121",0.160810714285832,0.0897428571430001,0.76463,0,0,0.23914
"DMU122",0.145010714285822,0.219342857143,0.27787,0.1845,0,0.30436
"DMU123",0.130473846153959,0.0575828571429999,0.20872,0.5,0,0.17392
"DMU124",0.2482945714286,0.283602857143,0.23177,0,0.4,0.3261
"DMU125",0.104848949579916,0.100462857143,0.596570000000002,-0.223200000000001,0,0.23914
"DMU126",0.253006730769439,0.0144571428572855,0.677569999999998,0.184499999999999,0.4,0.217399999999999
"DMU127",0.143940126050527,0.240762857142999,0.02063,0.5,0,0.2174
"DMU128",0.0929563025210852,0.188942857143,0.0412600000000001,0.1845,0,0.2174
"DMU129",0.303176730769494,0.132622857143,0.46673,0.1845,0.5,0.26088
"DMU130",0.04529894957988,0.188942857143,0.10315,-0.2232,0,0.23914
"DMU131",0.16144894957995,0.305022857143,0.46673,0,0,0.3261
"DMU132",0.31776019230795,0.143342857143,0.49201,0.5,0.4,0.28262
"DMU133",0.184022478991728,0.240762857143,0.79365,-0.1309,0,0.34784
"DMU134",0.201409423077081,0.111182857143,0.49201,0.5,0,0.28262
"DMU135",0.161912184874068,0.240762857142999,0.39312,0.1845,0,0.28262
"DMU136",0.161424038461672,0.046862857143,0.94803,-0.1309,0,0.26088
"DMU137",0.172784243697604,0.219342857143,0.46673,0.1845,0,0.30436
"DMU138",0.2924845714286,0.173742857143,0.16504,0.1845,0.7,0.23914
"DMU139",0.11297100840345,0.0897428571429994,0.254819999999999,0.1845,0,0.23914
"DMU140",0.331876721311428,0.262182857143,0.30092,0.5,0.4,0.30436
"DMU141",0.0541813025210619,0.132622857143,0.06189,0,0,0.17392
"DMU142",0.314035576923324,0.057582857143,0.94803,0.1845,0.4,0.30436
"DMU143",0.131134243697579,0.326442857143,0.37007,-0.1309,0,0.3261
"DMU144",0.2360295081967,0.132622857143,0.16504,0.5,0.4,0.15218
"DMU145",0.117107773109335,0.121902857143,0.37007,0,0,0.30436
"DMU146",0.205690961538617,0.089742857143,0.59657,0.5,0,0.28262
