"","min_max_s","s1","s2","s3","s4","s5"
"DMU151",0.288970714285719,0.18696,0.288970714285719,0.288970714285719,0.288970714285719,0.288970714285719
"DMU152",0.271355714285719,0.18696,0.271355714285719,0.271355714285719,0.271355714285719,0.271355714285719
"DMU153",0.34598428571425,0.2692,0.16504,0.34598428571425,0.34598428571425,0.34598428571425
"DMU154",0.293423214285688,0.19768,0.293423214285688,0.293423214285688,0.293423214285688,0.293423214285687
"DMU155",0.291957619047413,0.18696,0.291957619047413,0.291957619047413,0,0.291957619047412
"DMU156",0.176375714285582,0.176375714285582,0.176375714285582,0.176375714285582,0,0.176375714285582
"DMU157",0.355497619047618,0.0939714285714281,0.16504,0.355497619047618,0.355497619047618,0.355497619047618
"DMU158",0.372712894736528,0.17624,0.372712894736528,0.372712894736528,0.372712894736528,0.372712894736528
"DMU159",0.35871321428575,0.32724,0.35871321428575,0.35871321428575,0.35871321428575,0.35871321428575
"DMU160",0.421678749999664,0.16552,0.421678749999664,0.421678749999664,0,0.421678749999664
"DMU161",0.220253214285688,0.220253214285688,0.06189,0.220253214285688,0.220253214285688,0.220253214285688
"DMU162",0.450419210525953,0.1548,0.450419210525953,0.450419210525954,0.450419210525953,0.450419210525953
"DMU163",0.204904285714142,0.13336,0.204904285714142,0.204904285714142,0,0.204904285714142
"DMU164",0.403190952380618,0.2844,0.403190952380618,0.403190952380618,0,0.403190952380618
"DMU165",0.211608214285719,0.14408,0.211608214285719,0.211608214285719,0.211608214285719,0.211608214285719
"DMU166",0.337596428571096,0.18696,0.27545,0.337596428571096,0,0.337596428571096
"DMU167",0.368292894736538,0.1548,0.368292894736538,0.368292894736539,0.368292894736538,0.368292894736538
"DMU168",0.144277619047512,0.0939714285714281,0.144277619047512,0.144277619047512,0,0.144277619047512
"DMU169",0.12074857142855,0.12074857142855,0.12074857142855,0.12074857142855,0.12074857142855,0.12074857142855
"DMU170",0.193158214285688,0.193158214285688,0.14441,0.193158214285688,0.193158214285688,0.193158214285688
"DMU171",0.388897619047293,0.2844,0.388897619047293,0.388897619047293,0,0.388897619047293
"DMU172",0.109564285714168,0.109564285714168,0.0825200000000001,0.109564285714168,0,0.109564285714168
"DMU173",0.226644285714072,0.2084,0.226644285714072,0.226644285714072,0,0.226644285714072
"DMU174",0.183283030303093,0.183283030303093,0.10315,0.183283030303093,0,0.183283030303093
"DMU175",0.266677619047428,0.18696,0.266677619047428,0.266677619047428,0,0.266677619047428
"DMU176",0.197878214285719,0.1548,0.197878214285719,0.197878214285719,0.197878214285719,0.197878214285719
"DMU177",0.0988776190475117,0.0988776190475117,0.0618900000000001,0.0988776190475117,0,0.0988776190475117
"DMU178",0.212611578947465,0.11192,0.0825200000000001,0.212611578947465,0,0.212611578947465
"DMU179",0.225338214285553,0.225338214285553,0.225338214285553,0.225338214285553,0,0.225338214285553
"DMU180",0.289096052631356,0.057828571428571,0.289096052631356,0.289096052631356,0.289096052631356,0.289096052631356
"DMU181",0.252197619047441,0.16552,0.252197619047441,0.252197619047441,0,0.252197619047441
"DMU182",0.313697619047338,0.2844,0.313697619047338,0.313697619047338,0,0.313697619047338
"DMU183",0.304358214285505,0.304358214285505,0.304358214285505,0.304358214285505,0,0.304358214285505
"DMU184",0.372617619047366,0.17624,0.372617619047366,0.372617619047366,0,0.372617619047366
"DMU185",0.23360428571425,0.2236,0.12378,0.23360428571425,0.23360428571425,0.23360428571425
"DMU186",0.384311842104945,0.16552,0.384311842104945,0.384311842104945,0.384311842104944,0.384311842104944
"DMU187",0.208075833333126,0.17624,0.208075833333125,0.208075833333126,0,0.208075833333125
