"","d*","w1","w2","w3","w4","w5"
"DMU60",0.144588655462188,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU61",0.121165126050404,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU62",0.403982115384587,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU63",0.107807773109265,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU64",0.145557773109265,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU65",0.106231147540988,0.229508196721312,0.229508196721312,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU66",0.204276346153851,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU67",0.121046008403346,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU68",0.337270571428575,0.2,0.2,0.2,0.2,0.2
"DMU69",0.248886571428575,0.2,0.2,0.2,0.2,0.2
"DMU70",0.189643067226875,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU71",0.0304842436974816,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU72",0.0687018907563052,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU73",0.188643067226875,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU74",0.268690571428575,0.2,0.2,0.2,0.2,0.2
"DMU75",0.193049684873971,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU76",0.181534243697482,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU77",0.0942018907562868,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU78",0.201650420168051,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU79",0.389662884615356,0.269230769230769,0.0961538461538461,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU80",0.286075420168088,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU81",0.19911659663864,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU82",0.296897500000005,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU83",0.261358571428575,0.2,0.2,0.2,0.2,0.2
"DMU84",0.40463057142855,0.2,0.2,0.2,0.2,0.2
"DMU85",0.0731651260504044,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU86",0.16736953781511,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU87",0.162510714285717,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU88",0.225174571428575,0.2,0.2,0.2,0.2,0.2
"DMU89",0.24196657142855,0.2,0.2,0.2,0.2,0.2
"DMU90",0.126120327868857,0.229508196721312,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721312
"DMU91",0.265749423076894,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU92",0.189548949579835,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU93",0.229024918032762,0.229508196721312,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU94",0.369731803278664,0.229508196721311,0.229508196721312,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU95",0.15901207142855,0.2,0.2,0.2,0.2,0.2
"DMU96",0.1956605714286,0.2,0.2,0.2,0.2,0.2
"DMU97",0.224998949579835,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU98",0.110906302521011,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU99",0.290315961538433,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU100",0.440541346153817,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU101",0.3377785714286,0.2,0.2,0.2,0.2,0.2
"DMU102",0.220657773109228,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU103",0.208757773109228,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU104",0.237757704918008,0.229508196721311,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU105",0.416057884615356,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU106",0.108636571428575,0.2,0.2,0.2,0.2,0.2
"DMU107",0.0108094537815119,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU108",0.0866460084033456,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU109",0.149487184873952,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU110",0.140781302520993,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU111",0.404344807692346,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU112",0.131896008403346,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU113",0.158313655462169,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU114",-0.0233601923076911,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU115",0.21511659663864,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU116",0.209112571428575,0.2,0.2,0.2,0.2,0.2
"DMU117",0.216257773109228,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU118",0.3550025714286,0.2,0.2,0.2,0.2,0.2
"DMU119",0.0960662295082008,0.229508196721311,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721312
"DMU120",0.133672478991599,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU121",0.160810714285717,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU122",0.145010714285699,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU123",0.130473846153851,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU124",0.2482945714286,0.2,0.2,0.2,0.2,0.2
"DMU125",0.104848949579835,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU126",0.25300673076923,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU127",0.143940126050404,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU128",0.0929563025209926,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU129",0.303176730769202,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU130",0.0452989495798162,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU131",0.161448949579853,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU132",0.317760192307663,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU133",0.184022478991581,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU134",0.201409423076928,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU135",0.161912184873934,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU136",0.161424038461543,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU137",0.172784243697463,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU138",0.29248457142855,0.2,0.2,0.2,0.2,0.2
"DMU139",0.112971008403364,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU140",0.331876721311508,0.229508196721312,0.229508196721312,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU141",0.0541813025209926,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU142",0.314035576923082,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU143",0.1311342436975,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU144",0.236029508196697,0.229508196721312,0.229508196721312,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU145",0.117107773109246,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU146",0.205690961538466,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU147",0.410815192307731,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU148",0.0859754201680882,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
